================ Training Loss (Tue Dec  2 17:51:04 2025) ================
[Rank 0] (epoch: 1, iters: 900, time: 0.452, data: 0.000) , D_A: 0.276, G_A: 0.304, cycle_A: 2.177, idt_A: 0.000, D_B: 0.099, G_B: 0.285, cycle_B: 2.379, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 910, time: 0.597, data: 0.000) , D_A: 0.406, G_A: 0.606, cycle_A: 3.180, idt_A: 0.000, D_B: 0.180, G_B: 0.387, cycle_B: 2.427, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 920, time: 0.546, data: 0.000) , D_A: 0.243, G_A: 0.533, cycle_A: 2.503, idt_A: 0.000, D_B: 0.176, G_B: 0.283, cycle_B: 1.839, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 930, time: 0.468, data: 0.000) , D_A: 0.238, G_A: 0.302, cycle_A: 5.304, idt_A: 0.000, D_B: 0.066, G_B: 0.375, cycle_B: 2.194, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 940, time: 0.459, data: 0.000) , D_A: 0.194, G_A: 0.592, cycle_A: 2.554, idt_A: 0.000, D_B: 0.135, G_B: 0.476, cycle_B: 2.880, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 950, time: 0.474, data: 0.000) , D_A: 0.284, G_A: 0.430, cycle_A: 4.881, idt_A: 0.000, D_B: 0.177, G_B: 0.314, cycle_B: 2.071, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 960, time: 0.606, data: 0.000) , D_A: 0.202, G_A: 0.598, cycle_A: 4.307, idt_A: 0.000, D_B: 0.104, G_B: 0.492, cycle_B: 3.112, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 970, time: 0.576, data: 0.000) , D_A: 0.131, G_A: 0.327, cycle_A: 2.226, idt_A: 0.000, D_B: 0.053, G_B: 0.082, cycle_B: 2.329, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 980, time: 0.522, data: 0.000) , D_A: 0.306, G_A: 0.691, cycle_A: 2.472, idt_A: 0.000, D_B: 0.048, G_B: 0.170, cycle_B: 2.471, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 990, time: 0.467, data: 0.000) , D_A: 0.270, G_A: 0.150, cycle_A: 2.001, idt_A: 0.000, D_B: 0.076, G_B: 0.458, cycle_B: 2.245, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1000, time: 0.494, data: 0.000) , D_A: 0.295, G_A: 0.223, cycle_A: 2.513, idt_A: 0.000, D_B: 0.057, G_B: 0.479, cycle_B: 2.271, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1010, time: 0.440, data: 0.000) , D_A: 0.279, G_A: 0.505, cycle_A: 2.562, idt_A: 0.000, D_B: 0.082, G_B: 0.205, cycle_B: 2.131, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1020, time: 0.529, data: 0.000) , D_A: 0.171, G_A: 0.266, cycle_A: 1.827, idt_A: 0.000, D_B: 0.283, G_B: 0.544, cycle_B: 1.525, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1030, time: 0.556, data: 0.000) , D_A: 0.118, G_A: 0.563, cycle_A: 2.499, idt_A: 0.000, D_B: 0.110, G_B: 0.398, cycle_B: 1.493, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1040, time: 0.552, data: 0.000) , D_A: 0.255, G_A: 0.189, cycle_A: 3.064, idt_A: 0.000, D_B: 0.051, G_B: 0.411, cycle_B: 3.583, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1050, time: 0.527, data: 0.000) , D_A: 0.162, G_A: 0.216, cycle_A: 2.000, idt_A: 0.000, D_B: 0.374, G_B: 0.248, cycle_B: 3.716, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1060, time: 0.499, data: 0.000) , D_A: 0.211, G_A: 0.549, cycle_A: 2.421, idt_A: 0.000, D_B: 0.199, G_B: 0.251, cycle_B: 2.064, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1070, time: 0.473, data: 0.000) , D_A: 0.241, G_A: 0.196, cycle_A: 4.208, idt_A: 0.000, D_B: 0.069, G_B: 0.573, cycle_B: 1.479, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1080, time: 0.453, data: 0.000) , D_A: 0.201, G_A: 0.570, cycle_A: 2.123, idt_A: 0.000, D_B: 0.037, G_B: 0.389, cycle_B: 1.904, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1090, time: 0.437, data: 0.000) , D_A: 0.232, G_A: 0.566, cycle_A: 3.560, idt_A: 0.000, D_B: 0.178, G_B: 0.831, cycle_B: 3.145, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1100, time: 0.505, data: 0.000) , D_A: 0.150, G_A: 0.276, cycle_A: 2.745, idt_A: 0.000, D_B: 0.122, G_B: 0.255, cycle_B: 2.335, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1110, time: 0.465, data: 0.000) , D_A: 0.180, G_A: 0.337, cycle_A: 4.473, idt_A: 0.000, D_B: 0.042, G_B: 0.192, cycle_B: 2.529, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1120, time: 0.469, data: 0.000) , D_A: 0.152, G_A: 0.065, cycle_A: 2.708, idt_A: 0.000, D_B: 0.172, G_B: 0.754, cycle_B: 4.748, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1130, time: 0.471, data: 0.000) , D_A: 0.144, G_A: 0.347, cycle_A: 3.326, idt_A: 0.000, D_B: 0.209, G_B: 0.387, cycle_B: 2.083, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1140, time: 0.528, data: 0.000) , D_A: 0.259, G_A: 0.553, cycle_A: 2.199, idt_A: 0.000, D_B: 0.102, G_B: 0.285, cycle_B: 3.537, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1150, time: 0.530, data: 0.000) , D_A: 0.203, G_A: 0.358, cycle_A: 4.019, idt_A: 0.000, D_B: 0.398, G_B: 0.069, cycle_B: 2.172, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1160, time: 0.569, data: 0.000) , D_A: 0.131, G_A: 0.400, cycle_A: 2.844, idt_A: 0.000, D_B: 0.049, G_B: 0.405, cycle_B: 2.306, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1170, time: 0.528, data: 0.000) , D_A: 0.402, G_A: 0.343, cycle_A: 2.432, idt_A: 0.000, D_B: 0.233, G_B: 0.472, cycle_B: 4.533, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1180, time: 0.526, data: 0.000) , D_A: 0.261, G_A: 0.068, cycle_A: 2.673, idt_A: 0.000, D_B: 0.118, G_B: 0.465, cycle_B: 2.657, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1190, time: 0.498, data: 0.000) , D_A: 0.150, G_A: 0.351, cycle_A: 7.470, idt_A: 0.000, D_B: 0.205, G_B: 0.294, cycle_B: 2.072, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 1200, time: 0.467, data: 0.000) , D_A: 0.135, G_A: 0.386, cycle_A: 3.265, idt_A: 0.000, D_B: 0.229, G_B: 0.749, cycle_B: 2.786, idt_B: 0.000

